time,pos
0,19.999
0.001,19.998
0.002,19.9969
0.003,19.9959
0.004,19.9949
0.005,19.9938
0.006,19.9927
0.007,19.9916
0.008,19.9906
0.009,19.9895
0.01,19.9884
0.011,19.9872
0.012,19.9861
0.013,19.985
0.014,19.9838
0.015,19.9827
0.016,19.9815
0.017,19.9803
0.018,19.9791
0.019,19.9779
0.02,19.9767
0.021,19.9755
0.022,19.9743
0.023,19.9731
0.024,19.9718
0.025,19.9706
0.026,19.9693
0.027,19.968
0.028,19.9667
0.029,19.9654
0.03,19.9641
0.031,19.9628
0.032,19.9615
0.033,19.9602
0.034,19.9588
0.035,19.9575
0.036,19.9561
0.037,19.9547
0.038,19.9533
0.039,19.952
0.04,19.9506
0.041,19.9491
0.042,19.9477
0.043,19.9463
0.044,19.9448
0.045,19.9434
0.046,19.9419
0.047,19.9405
0.048,19.939
0.049,19.9375
0.05,19.936
0.051,19.9345
0.052,19.933
0.053,19.9314
0.054,19.9299
0.055,19.9283
0.056,19.9268
0.057,19.9252
0.058,19.9236
0.059,19.922
0.06,19.9204
0.061,19.9188
0.062,19.9172
0.063,19.9156
0.064,19.914
0.065,19.9123
0.066,19.9107
0.067,19.909
0.068,19.9073
0.069,19.9056
0.07,19.9039
0.071,19.9022
0.072,19.9005
0.073,19.8988
0.074,19.897
0.075,19.8953
0.076,19.8935
0.077,19.8918
0.078,19.89
0.079,19.8882
0.08,19.8864
0.081,19.8846
0.082,19.8828
0.083,19.881
0.084,19.8791
0.085,19.8773
0.086,19.8754
0.087,19.8736
0.088,19.8717
0.089,19.8698
0.09,19.8679
0.091,19.866
0.092,19.8641
0.093,19.8622
0.094,19.8603
0.095,19.8583
0.096,19.8564
0.097,19.8544
0.098,19.8524
0.099,19.8505
0.1,19.8485
0.101,19.8465
0.102,19.8445
0.103,19.8424
0.104,19.8404
0.105,19.8384
0.106,19.8363
0.107,19.8343
0.108,19.8322
0.109,19.8301
0.11,19.828
0.111,19.8259
0.112,19.8238
0.113,19.8217
0.114,19.8196
0.115,19.8174
0.116,19.8153
0.117,19.8131
0.118,19.811
0.119,19.8088
0.12,19.8066
0.121,19.8044
0.122,19.8022
0.123,19.8
0.124,19.7977
0.125,19.7955
0.126,19.7933
0.127,19.791
0.128,19.7887
0.129,19.7865
0.13,19.7842
0.131,19.7819
0.132,19.7796
0.133,19.7773
0.134,19.7749
0.135,19.7726
0.136,19.7703
0.137,19.7679
0.138,19.7655
0.139,19.7632
0.14,19.7608
0.141,19.7584
0.142,19.756
0.143,19.7536
0.144,19.7512
0.145,19.7487
0.146,19.7463
0.147,19.7438
0.148,19.7414
0.149,19.7389
0.15,19.7364
0.151,19.7339
0.152,19.7314
0.153,19.7289
0.154,19.7264
0.155,19.7239
0.156,19.7213
0.157,19.7188
0.158,19.7162
0.159,19.7136
0.16,19.7111
0.161,19.7085
0.162,19.7059
0.163,19.7033
0.164,19.7007
0.165,19.698
0.166,19.6954
0.167,19.6927
0.168,19.6901
0.169,19.6874
0.17,19.6847
0.171,19.682
0.172,19.6793
0.173,19.6766
0.174,19.6739
0.175,19.6712
0.176,19.6685
0.177,19.6657
0.178,19.663
0.179,19.6602
0.18,19.6574
0.181,19.6546
0.182,19.6518
0.183,19.649
0.184,19.6462
0.185,19.6434
0.186,19.6406
0.187,19.6377
0.188,19.6349
0.189,19.632
0.19,19.6291
0.191,19.6262
0.192,19.6233
0.193,19.6204
0.194,19.6175
0.195,19.6146
0.196,19.6117
0.197,19.6087
0.198,19.6058
